;Id_sensor;Time;NOx;max_wind10;avg_wind10;max_wind100;avg_wind100;max_humidity;avg_humidity;max_precipitation;avg_precipitation;max_temperature;avg_temperature;min_temperature;k_precipitation;k_wind10;type;area
7456;20493;aprile 22;41.9488178025035;31.1;8.29402777777778;50.7;13.6813888888889;95;61.1069444444444;4.9;0.0697222222222222;23.4;12.4780555555556;1.7;7;15;???;???
8056;20493;maggio 22;40.8559440559441;28.9;7.63682795698925;43.8;11.7522849462366;96;60.8575268817204;8.1;0.0684139784946237;31.5;20.267876344086;9.6;7;21;???;???
7856;20493;giugno 22;37.6721448467967;23.7;8.14638888888889;42.1;12.9455555555556;97;55.3319444444444;10.5;0.133611111111111;34.2;25.1444444444444;14.7;8;23;???;???
7956;20493;luglio 22;29.0972543352601;28.8;8.39489247311828;43.3;13.3456989247312;99;46.9381720430108;15.3;0.0525537634408602;36.7;27.820564516129;18.2;4;26;???;???
7356;20493;agosto 22;30.2851296043656;24.7;7.29596774193548;39.8;11.3799731182796;98;55.372311827957;7.1;0.0743279569892473;36.1;25.5608870967742;16.7;7;21;???;???
8456;20493;settembre 22;50.3617945007236;20.1;7.25791666666667;31.9;12.2740277777778;98;69.2097222222222;13.1;0.225694444444444;28.8;18.9106944444444;9.2;9;19;???;???
8356;20493;ottobre 22;76.7135685210312;20.3;6.14139784946237;35.7;9.9502688172043;100;77.5846774193548;14.3;0.125134408602151;23.7;17.1396505376344;11.7;6;7;???;???
8258;20493;novembre 22;113.746944444444;22.1;5.76708333333333;38.2;9.2075;100;82.0444444444445;11.6;0.146111111111111;19.3;9.46319444444444;1.2;8;8;???;???
7556;20493;dicembre 22;141.383041722746;15.1;4.91491935483871;31;8.07782258064516;100;91.2325268817204;5;0.138978494623656;11.1;5.15954301075269;-2.5;6;5;???;???
8856;20493;gennaio 23;100.443396226415;22.3;6.10483870967742;38.5;10.1407258064516;100;82.4932795698925;3;0.0720430107526882;12.7;4.92163978494624;-2.8;6;11;???;???
8756;20493;febbraio 23;91.2066455696202;26.4;7.72767857142857;41.9;12.825;97;74.0684523809524;2.5;0.0129464285714286;15.6;5.96369047619048;-3.4;1;17;???;???
9257;20493;marzo 23;61.1409703504043;24.1;7.675;41.8;12.7323924731183;95;67.364247311828;3.7;0.0440860215053763;21.3;10.3991935483871;-1.1;4;17;???;???
8656;20493;aprile 23;42.1820833333333;26.7;8.18763888888889;40.4;13.2038888888889;96;62.7138888888889;4;0.117638888888889;21.8;12.5641666666667;1.6;7;22;???;???
9158;20493;maggio 23;42.7357723577236;24;6.65040322580645;40.1;10.6068548387097;98;74.8602150537634;11;0.289650537634409;27;17.0559139784946;9.3;16;18;???;???
8956;20493;giugno 23;36.7852573018081;23;6.79486111111111;38.9;10.5934722222222;96;66.6541666666667;13.7;0.19625;33.4;22.4669444444444;14.3;13;18;???;???
9056;20493;luglio 23;32.6979472140762;33.8;6.80604838709677;50.9;10.7081989247312;98;68.1290322580645;14;0.271774193548387;36.1;24.6361559139785;16.4;11;19;???;???
8556;20493;agosto 23;27.0259109311741;33.5;7.59180107526882;53.6;12.0888440860215;97;60.2096774193548;12.7;0.188306451612903;36.7;25.133064516129;13.1;8;23;???;???
9556;20493;settembre 23;44.0540277777778;26.9;6.31291666666667;42.3;9.76069444444444;96;69.0013888888889;10.3;0.133888888888889;30.3;21.4116666666667;10.7;5;12;???;???
9456;20493;ottobre 23;60.9956873315364;33.1;7.33252688172043;53.2;12.0981182795699;100;75.2956989247312;8.3;0.181182795698925;28.2;17.1385752688172;8;9;15;???;???
5192;6218;gennaio 16;114.737273991655;19.2;5.03467741935484;31.7;8.8880376344086;100;77.6814516129032;1.7;0.0524193548387097;12.5;2.70416666666667;-5.1;5;3;B;U
4192;6218;febbraio 16;68.5538123167155;24;6.80086206896552;42.4;12.2211206896552;99;80.558908045977;3.3;0.211063218390805;16.6;5.57945402298851;-2.2;10;10;B;U
9104;6218;marzo 16;54.8988888888889;24;5.76572580645161;40.2;9.21854838709677;100;75.8387096774194;2.8;0.0899193548387097;16.2;7.60456989247312;-2.9;5;3;B;U
2192;6218;aprile 16;38.7409470752089;19.2;5.82430555555556;30.5;9.44194444444445;97;73.3347222222222;2.6;0.0723611111111111;20.3;12.8430555555556;1.6;4;5;B;U
8192;6218;maggio 16;24.7380053908356;18.4;5.50994623655914;33.6;8.9377688172043;100;74.1908602150538;4.9;0.239112903225806;24.6;15.1315860215054;4.6;12;6;B;U
6192;6218;giugno 16;17.3931754874652;15.9;4.625;26.3;7.17222222222222;99;79.5013888888889;4.8;0.187777777777778;30.2;19.4304166666667;9.7;12;1;B;U
7192;6218;luglio 16;18.84859437751;13.8;4.83978494623656;25.5;7.7502688172043;95;73.5873655913979;2.9;0.0647849462365591;30.7;22.9009408602151;12.7;5;1;B;U
1192;6218;agosto 16;14.86;14;4.6372311827957;23.9;7.1369623655914;100;74.2809139784946;5.8;0.156720430107527;29.1;21.8379032258064;12.4;9;1;B;U
1259;6218;settembre 16;32.8084192439863;22.2;4.46708333333333;35.6;6.89847222222222;99;75.0680555555556;3.3;0.0743055555555556;28.5;19.7018055555556;10.8;5;1;B;U
1193;6218;ottobre 16;55.741689373297;17.7;4.91438172043011;29.6;7.99865591397849;100;83.0067204301075;2.8;0.122715053763441;20.8;12.1081989247312;1.5;8;3;B;U
1057;6218;novembre 16;96.2288732394366;19.7;4.98638888888889;33;9.02930555555556;100;84.9611111111111;2.7;0.118611111111111;15.4;7.43305555555556;-3.3;7;4;B;U
3192;6218;dicembre 16;186.327060653188;12.2;3.75577956989247;24.4;6.73064516129032;97;79.2043010752688;0.7;0.0043010752688172;14.1;3.47056451612903;-2.7;0;1;B;U
1757;6218;gennaio 17;118.198905608755;27.4;6.10981182795699;47.8;9.18198924731183;100;66.4301075268817;1.9;0.0147849462365591;10.6;-0.0932795698924731;-7;1;5;B;U
